,Transition_From,Transition_To,Rate,Year,Race,Sex,Age_Group
110,Very High,Abs,0.07182099774114158,0–3,Hispanic,Female,36-50
111,Very High,Abs,0.07182099774114158,0–3,Other,Female,36-50
112,Very High,Abs,0.07182099774114158,0–3,White,Male,51+
113,Very High,Abs,0.07182099774114158,0–3,Black,Male,51+
114,Very High,Abs,0.07182099774114158,0–3,Hispanic,Male,51+
115,Very High,Abs,0.07182099774114158,0–3,Other,Male,51+
116,Very High,Abs,0.07182099774114158,0–3,White,Female,51+
117,Very High,Abs,0.07182099774114158,0–3,Black,Female,51+
118,Very High,Abs,0.07182099774114158,0–3,Hispanic,Female,51+
119,Very High,Abs,0.07182099774114158,0–3,Other,Female,51+
120,Abs,Low,0.05734678499554115,0–3,White,Male,18-35
121,Abs,Low,0.05734678499554115,0–3,Black,Male,18-35
122,Abs,Low,0.05734678499554115,0–3,Hispanic,Male,18-35
123,Abs,Low,0.05734678499554115,0–3,Other,Male,18-35
124,Abs,Low,0.05734678499554115,0–3,White,Female,18-35
125,Abs,Low,0.05734678499554115,0–3,Black,Female,18-35
126,Abs,Low,0.05734678499554115,0–3,Hispanic,Female,18-35
127,Abs,Low,0.05734678499554115,0–3,Other,Female,18-35
128,Abs,Low,0.05734678499554115,0–3,White,Male,36-50
129,Abs,Low,0.05734678499554115,0–3,Black,Male,36-50
130,Abs,Low,0.05734678499554115,0–3,Hispanic,Male,36-50
131,Abs,Low,0.05734678499554115,0–3,Other,Male,36-50
132,Abs,Low,0.05734678499554115,0–3,White,Female,36-50
133,Abs,Low,0.05734678499554115,0–3,Black,Female,36-50
134,Abs,Low,0.05734678499554115,0–3,Hispanic,Female,36-50
135,Abs,Low,0.05734678499554115,0–3,Other,Female,36-50
136,Abs,Low,0.05734678499554115,0–3,White,Male,51+
137,Abs,Low,0.05734678499554115,0–3,Black,Male,51+
138,Abs,Low,0.05734678499554115,0–3,Hispanic,Male,51+
139,Abs,Low,0.05734678499554115,0–3,Other,Male,51+
140,Abs,Low,0.05734678499554115,0–3,White,Female,51+
141,Abs,Low,0.05734678499554115,0–3,Black,Female,51+
142,Abs,Low,0.05734678499554115,0–3,Hispanic,Female,51+
143,Abs,Low,0.05734678499554115,0–3,Other,Female,51+
144,Low,Low,0.8104629927510472,0–3,White,Male,18-35
145,Low,Low,0.8104629927510472,0–3,Black,Male,18-35
146,Low,Low,0.8104629927510472,0–3,Hispanic,Male,18-35
147,Low,Low,0.8104629927510472,0–3,Other,Male,18-35
148,Low,Low,0.8104629927510472,0–3,White,Female,18-35
149,Low,Low,0.8104629927510472,0–3,Black,Female,18-35
150,Low,Low,0.8104629927510472,0–3,Hispanic,Female,18-35
151,Low,Low,0.8104629927510472,0–3,Other,Female,18-35
152,Low,Low,0.8104629927510472,0–3,White,Male,36-50
153,Low,Low,0.8104629927510472,0–3,Black,Male,36-50
154,Low,Low,0.8104629927510472,0–3,Hispanic,Male,36-50
155,Low,Low,0.8104629927510472,0–3,Other,Male,36-50
156,Low,Low,0.8104629927510472,0–3,White,Female,36-50
157,Low,Low,0.8104629927510472,0–3,Black,Female,36-50
158,Low,Low,0.8104629927510472,0–3,Hispanic,Female,36-50
159,Low,Low,0.8104629927510472,0–3,Other,Female,36-50
160,Low,Low,0.8104629927510472,0–3,White,Male,51+
161,Low,Low,0.8104629927510472,0–3,Black,Male,51+
162,Low,Low,0.8104629927510472,0–3,Hispanic,Male,51+
163,Low,Low,0.8104629927510472,0–3,Other,Male,51+
164,Low,Low,0.8104629927510472,0–3,White,Female,51+
165,Low,Low,0.8104629927510472,0–3,Black,Female,51+
166,Low,Low,0.8104629927510472,0–3,Hispanic,Female,51+
167,Low,Low,0.8104629927510472,0–3,Other,Female,51+
168,Med,Low,0.3169129053506043,0–3,White,Male,18-35
169,Med,Low,0.3169129053506043,0–3,Black,Male,18-35
170,Med,Low,0.3169129053506043,0–3,Hispanic,Male,18-35
171,Med,Low,0.3169129053506043,0–3,Other,Male,18-35
172,Med,Low,0.3169129053506043,0–3,White,Female,18-35
173,Med,Low,0.3169129053506043,0–3,Black,Female,18-35
174,Med,Low,0.3169129053506043,0–3,Hispanic,Female,18-35
175,Med,Low,0.3169129053506043,0–3,Other,Female,18-35
176,Med,Low,0.3169129053506043,0–3,White,Male,36-50
177,Med,Low,0.3169129053506043,0–3,Black,Male,36-50
178,Med,Low,0.3169129053506043,0–3,Hispanic,Male,36-50
179,Med,Low,0.3169129053506043,0–3,Other,Male,36-50
180,Med,Low,0.3169129053506043,0–3,White,Female,36-50
181,Med,Low,0.3169129053506043,0–3,Black,Female,36-50
182,Med,Low,0.3169129053506043,0–3,Hispanic,Female,36-50
183,Med,Low,0.3169129053506043,0–3,Other,Female,36-50
184,Med,Low,0.3169129053506043,0–3,White,Male,51+
185,Med,Low,0.3169129053506043,0–3,Black,Male,51+
186,Med,Low,0.3169129053506043,0–3,Hispanic,Male,51+
187,Med,Low,0.3169129053506043,0–3,Other,Male,51+
188,Med,Low,0.3169129053506043,0–3,White,Female,51+
189,Med,Low,0.3169129053506043,0–3,Black,Female,51+
190,Med,Low,0.3169129053506043,0–3,Hispanic,Female,51+
191,Med,Low,0.3169129053506043,0–3,Other,Female,51+
192,High,Low,0.10942321607757108,0–3,White,Male,18-35
193,High,Low,0.10942321607757108,0–3,Black,Male,18-35
194,High,Low,0.10942321607757108,0–3,Hispanic,Male,18-35
195,High,Low,0.10942321607757108,0–3,Other,Male,18-35
196,High,Low,0.10942321607757108,0–3,White,Female,18-35
197,High,Low,0.10942321607757108,0–3,Black,Female,18-35
198,High,Low,0.10942321607757108,0–3,Hispanic,Female,18-35
199,High,Low,0.10942321607757108,0–3,Other,Female,18-35
200,High,Low,0.10942321607757108,0–3,White,Male,36-50
201,High,Low,0.10942321607757108,0–3,Black,Male,36-50
202,High,Low,0.10942321607757108,0–3,Hispanic,Male,36-50
203,High,Low,0.10942321607757108,0–3,Other,Male,36-50
204,High,Low,0.10942321607757108,0–3,White,Female,36-50
205,High,Low,0.10942321607757108,0–3,Black,Female,36-50
206,High,Low,0.10942321607757108,0–3,Hispanic,Female,36-50
207,High,Low,0.10942321607757108,0–3,Other,Female,36-50
208,High,Low,0.10942321607757108,0–3,White,Male,51+
209,High,Low,0.10942321607757108,0–3,Black,Male,51+
210,High,Low,0.10942321607757108,0–3,Hispanic,Male,51+
211,High,Low,0.10942321607757108,0–3,Other,Male,51+
212,High,Low,0.10942321607757108,0–3,White,Female,51+
213,High,Low,0.10942321607757108,0–3,Black,Female,51+
214,High,Low,0.10942321607757108,0–3,Hispanic,Female,51+
215,High,Low,0.10942321607757108,0–3,Other,Female,51+
216,Very High,Low,0.09779660760803358,0–3,White,Male,18-35
217,Very High,Low,0.09779660760803358,0–3,Black,Male,18-35
218,Very High,Low,0.09779660760803358,0–3,Hispanic,Male,18-35
219,Very High,Low,0.09779660760803358,0–3,Other,Male,18-35
220,Very High,Low,0.09779660760803358,0–3,White,Female,18-35
221,Very High,Low,0.09779660760803358,0–3,Black,Female,18-35
222,Very High,Low,0.09779660760803358,0–3,Hispanic,Female,18-35
223,Very High,Low,0.09779660760803358,0–3,Other,Female,18-35
224,Very High,Low,0.09779660760803358,0–3,White,Male,36-50
225,Very High,Low,0.09779660760803358,0–3,Black,Male,36-50
226,Very High,Low,0.09779660760803358,0–3,Hispanic,Male,36-50
227,Very High,Low,0.09779660760803358,0–3,Other,Male,36-50
228,Very High,Low,0.09779660760803358,0–3,White,Female,36-50
229,Very High,Low,0.09779660760803358,0–3,Black,Female,36-50
230,Very High,Low,0.09779660760803358,0–3,Hispanic,Female,36-50
231,Very High,Low,0.09779660760803358,0–3,Other,Female,36-50
232,Very High,Low,0.09779660760803358,0–3,White,Male,51+
233,Very High,Low,0.09779660760803358,0–3,Black,Male,51+
234,Very High,Low,0.09779660760803358,0–3,Hispanic,Male,51+
235,Very High,Low,0.09779660760803358,0–3,Other,Male,51+
236,Very High,Low,0.09779660760803358,0–3,White,Female,51+
237,Very High,Low,0.09779660760803358,0–3,Black,Female,51+
238,Very High,Low,0.09779660760803358,0–3,Hispanic,Female,51+
239,Very High,Low,0.09779660760803358,0–3,Other,Female,51+
240,Abs,Med,0.006176869360102687,0–3,White,Male,18-35
241,Abs,Med,0.006176869360102687,0–3,Black,Male,18-35
242,Abs,Med,0.006176869360102687,0–3,Hispanic,Male,18-35
243,Abs,Med,0.006176869360102687,0–3,Other,Male,18-35
244,Abs,Med,0.006176869360102687,0–3,White,Female,18-35
245,Abs,Med,0.006176869360102687,0–3,Black,Female,18-35
246,Abs,Med,0.006176869360102687,0–3,Hispanic,Female,18-35
247,Abs,Med,0.006176869360102687,0–3,Other,Female,18-35
248,Abs,Med,0.006176869360102687,0–3,White,Male,36-50
249,Abs,Med,0.006176869360102687,0–3,Black,Male,36-50
250,Abs,Med,0.006176869360102687,0–3,Hispanic,Male,36-50
251,Abs,Med,0.006176869360102687,0–3,Other,Male,36-50
252,Abs,Med,0.006176869360102687,0–3,White,Female,36-50
253,Abs,Med,0.006176869360102687,0–3,Black,Female,36-50
254,Abs,Med,0.006176869360102687,0–3,Hispanic,Female,36-50
255,Abs,Med,0.006176869360102687,0–3,Other,Female,36-50
256,Abs,Med,0.006176869360102687,0–3,White,Male,51+
257,Abs,Med,0.006176869360102687,0–3,Black,Male,51+
258,Abs,Med,0.006176869360102687,0–3,Hispanic,Male,51+
259,Abs,Med,0.006176869360102687,0–3,Other,Male,51+
260,Abs,Med,0.006176869360102687,0–3,White,Female,51+
261,Abs,Med,0.006176869360102687,0–3,Black,Female,51+
262,Abs,Med,0.006176869360102687,0–3,Hispanic,Female,51+
263,Abs,Med,0.006176869360102687,0–3,Other,Female,51+
264,Low,Med,0.050232351388281506,0–3,White,Male,18-35
265,Low,Med,0.050232351388281506,0–3,Black,Male,18-35
266,Low,Med,0.050232351388281506,0–3,Hispanic,Male,18-35
267,Low,Med,0.050232351388281506,0–3,Other,Male,18-35
268,Low,Med,0.050232351388281506,0–3,White,Female,18-35
269,Low,Med,0.050232351388281506,0–3,Black,Female,18-35
270,Low,Med,0.050232351388281506,0–3,Hispanic,Female,18-35
271,Low,Med,0.050232351388281506,0–3,Other,Female,18-35
272,Low,Med,0.050232351388281506,0–3,White,Male,36-50
273,Low,Med,0.050232351388281506,0–3,Black,Male,36-50
274,Low,Med,0.050232351388281506,0–3,Hispanic,Male,36-50
275,Low,Med,0.050232351388281506,0–3,Other,Male,36-50
276,Low,Med,0.050232351388281506,0–3,White,Female,36-50
277,Low,Med,0.050232351388281506,0–3,Black,Female,36-50
278,Low,Med,0.050232351388281506,0–3,Hispanic,Female,36-50
279,Low,Med,0.050232351388281506,0–3,Other,Female,36-50
280,Low,Med,0.050232351388281506,0–3,White,Male,51+
281,Low,Med,0.050232351388281506,0–3,Black,Male,51+
282,Low,Med,0.050232351388281506,0–3,Hispanic,Male,51+
283,Low,Med,0.050232351388281506,0–3,Other,Male,51+
284,Low,Med,0.050232351388281506,0–3,White,Female,51+
285,Low,Med,0.050232351388281506,0–3,Black,Female,51+
286,Low,Med,0.050232351388281506,0–3,Hispanic,Female,51+
287,Low,Med,0.050232351388281506,0–3,Other,Female,51+
288,Med,Med,0.4876220079836291,0–3,White,Male,18-35
289,Med,Med,0.4876220079836291,0–3,Black,Male,18-35
290,Med,Med,0.4876220079836291,0–3,Hispanic,Male,18-35
291,Med,Med,0.4876220079836291,0–3,Other,Male,18-35
292,Med,Med,0.4876220079836291,0–3,White,Female,18-35
293,Med,Med,0.4876220079836291,0–3,Black,Female,18-35
294,Med,Med,0.4876220079836291,0–3,Hispanic,Female,18-35
295,Med,Med,0.4876220079836291,0–3,Other,Female,18-35
296,Med,Med,0.4876220079836291,0–3,White,Male,36-50
297,Med,Med,0.4876220079836291,0–3,Black,Male,36-50
298,Med,Med,0.4876220079836291,0–3,Hispanic,Male,36-50
299,Med,Med,0.4876220079836291,0–3,Other,Male,36-50
300,Med,Med,0.4876220079836291,0–3,White,Female,36-50
301,Med,Med,0.4876220079836291,0–3,Black,Female,36-50
302,Med,Med,0.4876220079836291,0–3,Hispanic,Female,36-50
303,Med,Med,0.4876220079836291,0–3,Other,Female,36-50
304,Med,Med,0.4876220079836291,0–3,White,Male,51+
305,Med,Med,0.4876220079836291,0–3,Black,Male,51+
306,Med,Med,0.4876220079836291,0–3,Hispanic,Male,51+
307,Med,Med,0.4876220079836291,0–3,Other,Male,51+
308,Med,Med,0.4876220079836291,0–3,White,Female,51+
309,Med,Med,0.4876220079836291,0–3,Black,Female,51+
310,Med,Med,0.4876220079836291,0–3,Hispanic,Female,51+
311,Med,Med,0.4876220079836291,0–3,Other,Female,51+
312,High,Med,0.1253871880561615,0–3,White,Male,18-35
313,High,Med,0.1253871880561615,0–3,Black,Male,18-35
314,High,Med,0.1253871880561615,0–3,Hispanic,Male,18-35
315,High,Med,0.1253871880561615,0–3,Other,Male,18-35
316,High,Med,0.1253871880561615,0–3,White,Female,18-35
317,High,Med,0.1253871880561615,0–3,Black,Female,18-35
318,High,Med,0.1253871880561615,0–3,Hispanic,Female,18-35
319,High,Med,0.1253871880561615,0–3,Other,Female,18-35
320,High,Med,0.1253871880561615,0–3,White,Male,36-50
321,High,Med,0.1253871880561615,0–3,Black,Male,36-50
322,High,Med,0.1253871880561615,0–3,Hispanic,Male,36-50
323,High,Med,0.1253871880561615,0–3,Other,Male,36-50
324,High,Med,0.1253871880561615,0–3,White,Female,36-50
325,High,Med,0.1253871880561615,0–3,Black,Female,36-50
326,High,Med,0.1253871880561615,0–3,Hispanic,Female,36-50
327,High,Med,0.1253871880561615,0–3,Other,Female,36-50
328,High,Med,0.1253871880561615,0–3,White,Male,51+
329,High,Med,0.1253871880561615,0–3,Black,Male,51+
330,High,Med,0.1253871880561615,0–3,Hispanic,Male,51+
331,High,Med,0.1253871880561615,0–3,Other,Male,51+
332,High,Med,0.1253871880561615,0–3,White,Female,51+
333,High,Med,0.1253871880561615,0–3,Black,Female,51+
334,High,Med,0.1253871880561615,0–3,Hispanic,Female,51+
335,High,Med,0.1253871880561615,0–3,Other,Female,51+
336,Very High,Med,0.07740205337288615,0–3,White,Male,18-35
337,Very High,Med,0.07740205337288615,0–3,Black,Male,18-35
338,Very High,Med,0.07740205337288615,0–3,Hispanic,Male,18-35
339,Very High,Med,0.07740205337288615,0–3,Other,Male,18-35
340,Very High,Med,0.07740205337288615,0–3,White,Female,18-35
341,Very High,Med,0.07740205337288615,0–3,Black,Female,18-35
342,Very High,Med,0.07740205337288615,0–3,Hispanic,Female,18-35
343,Very High,Med,0.07740205337288615,0–3,Other,Female,18-35
344,Very High,Med,0.07740205337288615,0–3,White,Male,36-50
345,Very High,Med,0.07740205337288615,0–3,Black,Male,36-50
346,Very High,Med,0.07740205337288615,0–3,Hispanic,Male,36-50
347,Very High,Med,0.07740205337288615,0–3,Other,Male,36-50
348,Very High,Med,0.07740205337288615,0–3,White,Female,36-50
349,Very High,Med,0.07740205337288615,0–3,Black,Female,36-50
350,Very High,Med,0.07740205337288615,0–3,Hispanic,Female,36-50
351,Very High,Med,0.07740205337288615,0–3,Other,Female,36-50
352,Very High,Med,0.07740205337288615,0–3,White,Male,51+
353,Very High,Med,0.07740205337288615,0–3,Black,Male,51+
354,Very High,Med,0.07740205337288615,0–3,Hispanic,Male,51+
355,Very High,Med,0.07740205337288615,0–3,Other,Male,51+
356,Very High,Med,0.07740205337288615,0–3,White,Female,51+
357,Very High,Med,0.07740205337288615,0–3,Black,Female,51+
358,Very High,Med,0.07740205337288615,0–3,Hispanic,Female,51+
359,Very High,Med,0.07740205337288615,0–3,Other,Female,51+
360,Abs,High,0.000406209638183662,0–3,White,Male,18-35
361,Abs,High,0.000406209638183662,0–3,Black,Male,18-35
362,Abs,High,0.000406209638183662,0–3,Hispanic,Male,18-35
363,Abs,High,0.000406209638183662,0–3,Other,Male,18-35
364,Abs,High,0.000406209638183662,0–3,White,Female,18-35
365,Abs,High,0.000406209638183662,0–3,Black,Female,18-35
366,Abs,High,0.000406209638183662,0–3,Hispanic,Female,18-35
367,Abs,High,0.000406209638183662,0–3,Other,Female,18-35
368,Abs,High,0.000406209638183662,0–3,White,Male,36-50
369,Abs,High,0.000406209638183662,0–3,Black,Male,36-50
370,Abs,High,0.000406209638183662,0–3,Hispanic,Male,36-50
371,Abs,High,0.000406209638183662,0–3,Other,Male,36-50
372,Abs,High,0.000406209638183662,0–3,White,Female,36-50
373,Abs,High,0.000406209638183662,0–3,Black,Female,36-50
374,Abs,High,0.000406209638183662,0–3,Hispanic,Female,36-50
375,Abs,High,0.000406209638183662,0–3,Other,Female,36-50
376,Abs,High,0.000406209638183662,0–3,White,Male,51+
377,Abs,High,0.000406209638183662,0–3,Black,Male,51+
378,Abs,High,0.000406209638183662,0–3,Hispanic,Male,51+
379,Abs,High,0.000406209638183662,0–3,Other,Male,51+
380,Abs,High,0.000406209638183662,0–3,White,Female,51+
381,Abs,High,0.000406209638183662,0–3,Black,Female,51+
382,Abs,High,0.000406209638183662,0–3,Hispanic,Female,51+
383,Abs,High,0.000406209638183662,0–3,Other,Female,51+
384,Low,High,0.022368703964445565,0–3,White,Male,18-35
385,Low,High,0.022368703964445565,0–3,Black,Male,18-35
386,Low,High,0.022368703964445565,0–3,Hispanic,Male,18-35
387,Low,High,0.022368703964445565,0–3,Other,Male,18-35
388,Low,High,0.022368703964445565,0–3,White,Female,18-35
389,Low,High,0.022368703964445565,0–3,Black,Female,18-35
390,Low,High,0.022368703964445565,0–3,Hispanic,Female,18-35
391,Low,High,0.022368703964445565,0–3,Other,Female,18-35
392,Low,High,0.022368703964445565,0–3,White,Male,36-50
393,Low,High,0.022368703964445565,0–3,Black,Male,36-50
394,Low,High,0.022368703964445565,0–3,Hispanic,Male,36-50
395,Low,High,0.022368703964445565,0–3,Other,Male,36-50
396,Low,High,0.022368703964445565,0–3,White,Female,36-50
397,Low,High,0.022368703964445565,0–3,Black,Female,36-50
398,Low,High,0.022368703964445565,0–3,Hispanic,Female,36-50
399,Low,High,0.022368703964445565,0–3,Other,Female,36-50
400,Low,High,0.022368703964445565,0–3,White,Male,51+
401,Low,High,0.022368703964445565,0–3,Black,Male,51+
402,Low,High,0.022368703964445565,0–3,Hispanic,Male,51+
403,Low,High,0.022368703964445565,0–3,Other,Male,51+
404,Low,High,0.022368703964445565,0–3,White,Female,51+
405,Low,High,0.022368703964445565,0–3,Black,Female,51+
406,Low,High,0.022368703964445565,0–3,Hispanic,Female,51+
407,Low,High,0.022368703964445565,0–3,Other,Female,51+
408,Med,High,0.18785665883103367,0–3,White,Male,18-35
409,Med,High,0.18785665883103367,0–3,Black,Male,18-35
410,Med,High,0.18785665883103367,0–3,Hispanic,Male,18-35
411,Med,High,0.18785665883103367,0–3,Other,Male,18-35
412,Med,High,0.18785665883103367,0–3,White,Female,18-35
413,Med,High,0.18785665883103367,0–3,Black,Female,18-35
414,Med,High,0.18785665883103367,0–3,Hispanic,Female,18-35
415,Med,High,0.18785665883103367,0–3,Other,Female,18-35
416,Med,High,0.18785665883103367,0–3,White,Male,36-50
417,Med,High,0.18785665883103367,0–3,Black,Male,36-50
418,Med,High,0.18785665883103367,0–3,Hispanic,Male,36-50
419,Med,High,0.18785665883103367,0–3,Other,Male,36-50
420,Med,High,0.18785665883103367,0–3,White,Female,36-50
421,Med,High,0.18785665883103367,0–3,Black,Female,36-50
422,Med,High,0.18785665883103367,0–3,Hispanic,Female,36-50
423,Med,High,0.18785665883103367,0–3,Other,Female,36-50
424,Med,High,0.18785665883103367,0–3,White,Male,51+
425,Med,High,0.18785665883103367,0–3,Black,Male,51+
426,Med,High,0.18785665883103367,0–3,Hispanic,Male,51+
427,Med,High,0.18785665883103367,0–3,Other,Male,51+
428,Med,High,0.18785665883103367,0–3,White,Female,51+
429,Med,High,0.18785665883103367,0–3,Black,Female,51+
430,Med,High,0.18785665883103367,0–3,Hispanic,Female,51+
431,Med,High,0.18785665883103367,0–3,Other,Female,51+
432,High,High,0.5103642365478872,0–3,White,Male,18-35
433,High,High,0.5103642365478872,0–3,Black,Male,18-35
434,High,High,0.5103642365478872,0–3,Hispanic,Male,18-35
435,High,High,0.5103642365478872,0–3,Other,Male,18-35
436,High,High,0.5103642365478872,0–3,White,Female,18-35
437,High,High,0.5103642365478872,0–3,Black,Female,18-35
438,High,High,0.5103642365478872,0–3,Hispanic,Female,18-35
439,High,High,0.5103642365478872,0–3,Other,Female,18-35
440,High,High,0.5103642365478872,0–3,White,Male,36-50
441,High,High,0.5103642365478872,0–3,Black,Male,36-50
442,High,High,0.5103642365478872,0–3,Hispanic,Male,36-50
