,Sex,Age_Group,Race,Drinking_Stage,Rate,Year
40,Female,55 and over,White,Abs,0.4898522,2000
41,Female,55 and over,White,Low,0.4484844,2000
42,Female,55 and over,White,Med,0.0426478,2000
43,Female,55 and over,White,High,0.0141102,2000
44,Female,55 and over,White,Very High,0.0049054,2000
45,Female,55 and over,Black,Abs,0.4898522,2000
46,Female,55 and over,Black,Low,0.4484844,2000
47,Female,55 and over,Black,Med,0.0426478,2000
48,Female,55 and over,Black,High,0.0141102,2000
49,Female,55 and over,Black,Very High,0.0049054,2000
50,Female,55 and over,Hispanic,Abs,0.4898522,2000
51,Female,55 and over,Hispanic,Low,0.4484844,2000
52,Female,55 and over,Hispanic,Med,0.0426478,2000
53,Female,55 and over,Hispanic,High,0.0141102,2000
54,Female,55 and over,Hispanic,Very High,0.0049054,2000
55,Female,55 and over,Other,Abs,0.4898522,2000
56,Female,55 and over,Other,Low,0.4484844,2000
57,Female,55 and over,Other,Med,0.0426478,2000
58,Female,55 and over,Other,High,0.0141102,2000
59,Female,55 and over,Other,Very High,0.0049054,2000
60,Male,18-34,White,Abs,0.4898522,2000
61,Male,18-34,White,Low,0.4484844,2000
62,Male,18-34,White,Med,0.0426478,2000
63,Male,18-34,White,High,0.0141102,2000
64,Male,18-34,White,Very High,0.0049054,2000
65,Male,18-34,Black,Abs,0.4898522,2000
66,Male,18-34,Black,Low,0.4484844,2000
67,Male,18-34,Black,Med,0.0426478,2000
68,Male,18-34,Black,High,0.0141102,2000
69,Male,18-34,Black,Very High,0.0049054,2000
70,Male,18-34,Hispanic,Abs,0.4898522,2000
71,Male,18-34,Hispanic,Low,0.4484844,2000
72,Male,18-34,Hispanic,Med,0.0426478,2000
73,Male,18-34,Hispanic,High,0.0141102,2000
74,Male,18-34,Hispanic,Very High,0.0049054,2000
75,Male,18-34,Other,Abs,0.4898522,2000
76,Male,18-34,Other,Low,0.4484844,2000
77,Male,18-34,Other,Med,0.0426478,2000
78,Male,18-34,Other,High,0.0141102,2000
79,Male,18-34,Other,Very High,0.0049054,2000
80,Male,35-54,White,Abs,0.4898522,2000
81,Male,35-54,White,Low,0.4484844,2000
82,Male,35-54,White,Med,0.0426478,2000
83,Male,35-54,White,High,0.0141102,2000
84,Male,35-54,White,Very High,0.0049054,2000
85,Male,35-54,Black,Abs,0.4898522,2000
86,Male,35-54,Black,Low,0.4484844,2000
87,Male,35-54,Black,Med,0.0426478,2000
88,Male,35-54,Black,High,0.0141102,2000
89,Male,35-54,Black,Very High,0.0049054,2000
90,Male,35-54,Hispanic,Abs,0.4898522,2000
91,Male,35-54,Hispanic,Low,0.4484844,2000
92,Male,35-54,Hispanic,Med,0.0426478,2000
93,Male,35-54,Hispanic,High,0.0141102,2000
94,Male,35-54,Hispanic,Very High,0.0049054,2000
95,Male,35-54,Other,Abs,0.4898522,2000
96,Male,35-54,Other,Low,0.4484844,2000
97,Male,35-54,Other,Med,0.0426478,2000
98,Male,35-54,Other,High,0.0141102,2000
99,Male,35-54,Other,Very High,0.0049054,2000
100,Male,55 and over,White,Abs,0.4898522,2000
101,Male,55 and over,White,Low,0.4484844,2000
102,Male,55 and over,White,Med,0.0426478,2000
103,Male,55 and over,White,High,0.0141102,2000
104,Male,55 and over,White,Very High,0.0049054,2000
105,Male,55 and over,Black,Abs,0.4898522,2000
106,Male,55 and over,Black,Low,0.4484844,2000
107,Male,55 and over,Black,Med,0.0426478,2000
108,Male,55 and over,Black,High,0.0141102,2000
109,Male,55 and over,Black,Very High,0.0049054,2000
110,Male,55 and over,Hispanic,Abs,0.4898522,2000
111,Male,55 and over,Hispanic,Low,0.4484844,2000
112,Male,55 and over,Hispanic,Med,0.0426478,2000
113,Male,55 and over,Hispanic,High,0.0141102,2000
114,Male,55 and over,Hispanic,Very High,0.0049054,2000
115,Male,55 and over,Other,Abs,0.4898522,2000
116,Male,55 and over,Other,Low,0.4484844,2000
117,Male,55 and over,Other,Med,0.0426478,2000
118,Male,55 and over,Other,High,0.0141102,2000
119,Male,55 and over,Other,Very High,0.0049054,2000
